orden,columna,bloque,componente,variable_base,tipo_pandas_muestra
252,fev6fvc_cv,resultado_fvl,cv,fev6fvc,float64
253,fev6fvc_skewness,resultado_fvl,skewness,fev6fvc,float64
254,fev6fvc_pre,resultado_fvl,pre,fev6fvc,float64
255,fev6fvc_post,resultado_fvl,post,fev6fvc,float64
256,fev7_predicted,resultado_fvl,predicted,fev7,float64
257,fev7_sd,resultado_fvl,sd,fev7,float64
258,fev7_cv,resultado_fvl,cv,fev7,float64
259,fev7_skewness,resultado_fvl,skewness,fev7,float64
260,fev7_pre,resultado_fvl,pre,fev7,float64
261,fev7_post,resultado_fvl,post,fev7,float64
262,fif25_predicted,resultado_fvl,predicted,fif25,float64
263,fif25_sd,resultado_fvl,sd,fif25,float64
264,fif25_cv,resultado_fvl,cv,fif25,float64
265,fif25_skewness,resultado_fvl,skewness,fif25,float64
266,fif25_pre,resultado_fvl,pre,fif25,float64
267,fif25_post,resultado_fvl,post,fif25,float64
268,fif2575_predicted,resultado_fvl,predicted,fif2575,float64
269,fif2575_sd,resultado_fvl,sd,fif2575,float64
270,fif2575_cv,resultado_fvl,cv,fif2575,float64
271,fif2575_skewness,resultado_fvl,skewness,fif2575,float64
272,fif2575_pre,resultado_fvl,pre,fif2575,float64
273,fif2575_post,resultado_fvl,post,fif2575,float64
274,fif50_predicted,resultado_fvl,predicted,fif50,float64
275,fif50_sd,resultado_fvl,sd,fif50,float64
276,fif50_cv,resultado_fvl,cv,fif50,float64
277,fif50_skewness,resultado_fvl,skewness,fif50,float64
278,fif50_pre,resultado_fvl,pre,fif50,float64
279,fif50_post,resultado_fvl,post,fif50,float64
280,fif75_predicted,resultado_fvl,predicted,fif75,float64
281,fif75_sd,resultado_fvl,sd,fif75,float64
282,fif75_cv,resultado_fvl,cv,fif75,float64
283,fif75_skewness,resultado_fvl,skewness,fif75,float64
284,fif75_pre,resultado_fvl,pre,fif75,float64
285,fif75_post,resultado_fvl,post,fif75,float64
286,fifmax_predicted,resultado_fvl,predicted,fifmax,float64
287,fifmax_sd,resultado_fvl,sd,fifmax,float64
288,fifmax_cv,resultado_fvl,cv,fifmax,float64
289,fifmax_skewness,resultado_fvl,skewness,fifmax,float64
290,fifmax_pre,resultado_fvl,pre,fifmax,float64
291,fifmax_post,resultado_fvl,post,fifmax,float64
292,fiv1_predicted,resultado_fvl,predicted,fiv1,float64
293,fiv1_sd,resultado_fvl,sd,fiv1,float64
294,fiv1_cv,resultado_fvl,cv,fiv1,float64
295,fiv1_skewness,resultado_fvl,skewness,fiv1,float64
296,fiv1_pre,resultado_fvl,pre,fiv1,float64
297,fiv1_post,resultado_fvl,post,fiv1,float64
298,fiv1fivc_predicted,resultado_fvl,predicted,fiv1fivc,float64
299,fiv1fivc_sd,resultado_fvl,sd,fiv1fivc,float64
300,fiv1fivc_cv,resultado_fvl,cv,fiv1fivc,float64
301,fiv1fivc_skewness,resultado_fvl,skewness,fiv1fivc,float64
302,fiv1fivc_pre,resultado_fvl,pre,fiv1fivc,float64
303,fiv1fivc_post,resultado_fvl,post,fiv1fivc,float64
304,fivc_predicted,resultado_fvl,predicted,fivc,float64
305,fivc_sd,resultado_fvl,sd,fivc,float64
306,fivc_cv,resultado_fvl,cv,fivc,float64
307,fivc_skewness,resultado_fvl,skewness,fivc,float64
308,fivc_pre,resultado_fvl,pre,fivc,float64
309,fivc_post,resultado_fvl,post,fivc,float64
310,fvc_predicted,resultado_fvl,predicted,fvc,float64
311,fvc_sd,resultado_fvl,sd,fvc,float64
312,fvc_cv,resultado_fvl,cv,fvc,float64
313,fvc_skewness,resultado_fvl,skewness,fvc,float64
314,fvc_pre,resultado_fvl,pre,fvc,float64
315,fvc_post,resultado_fvl,post,fvc,float64
316,fvcmeantr_predicted,resultado_fvl,predicted,fvcmeantr,float64
317,fvcmeantr_sd,resultado_fvl,sd,fvcmeantr,float64
318,fvcmeantr_cv,resultado_fvl,cv,fvcmeantr,float64
319,fvcmeantr_skewness,resultado_fvl,skewness,fvcmeantr,float64
320,fvcmeantr_pre,resultado_fvl,pre,fvcmeantr,float64
321,fvcmeantr_post,resultado_fvl,post,fvcmeantr,float64
322,mp30_predicted,resultado_fvl,predicted,mp30,float64
323,mp30_sd,resultado_fvl,sd,mp30,float64
324,mp30_cv,resultado_fvl,cv,mp30,float64
325,mp30_skewness,resultado_fvl,skewness,mp30,float64
326,mp30_pre,resultado_fvl,pre,mp30,float64
327,mp30_post,resultado_fvl,post,mp30,float64
328,mmet_predicted,resultado_fvl,predicted,mmet,float64
329,mmet_sd,resultado_fvl,sd,mmet,float64
330,mmet_cv,resultado_fvl,cv,mmet,float64
331,mmet_skewness,resultado_fvl,skewness,mmet,float64
332,mmet_pre,resultado_fvl,pre,mmet,float64
333,mmet_post,resultado_fvl,post,mmet,float64
334,palvpeak_predicted,resultado_fvl,predicted,palvpeak,float64
335,palvpeak_sd,resultado_fvl,sd,palvpeak,float64
336,palvpeak_cv,resultado_fvl,cv,palvpeak,float64
337,palvpeak_skewness,resultado_fvl,skewness,palvpeak,float64
338,palvpeak_pre,resultado_fvl,pre,palvpeak,float64
339,palvpeak_post,resultado_fvl,post,palvpeak,float64
340,pef_predicted,resultado_fvl,predicted,pef,float64
341,pef_sd,resultado_fvl,sd,pef,float64
342,pef_cv,resultado_fvl,cv,pef,float64
343,pef_skewness,resultado_fvl,skewness,pef,float64
344,pef_pre,resultado_fvl,pre,pef,float64
